品类,品牌,产品,规格,爆款香型,天猫挂价,天猫单ml,配赠,天猫销量原始,达播价,抖音单ml,配赠.1,配赠（可带上机制主图）,抖音销量原始,功效词,一句话卖点,详情页宣传（截图）,小红书用户评价,包装图文件名
洁面,左颜右色,微酸祛痘洗面奶,单支装体验装（150g男士洁面第一）/ 双支装第2瓶30元（150g*2）/ 三支装（三支可用1年）/ 套装郑恺代言护肤礼盒/ 5支装【囤货家庭装】,/,"原价：¥70.5
优惠后：¥56.37","原价单g：¥0.47/g
优惠价单g：¥0.38/g",拍2瓶可得：微酸祛痘洁面150g*2+微酸祛痘洁面15g*3+打泡网*2,100万+,39.97,¥0.26/ml,"微酸祛痘洗面奶150g“3+微酸洁面小样
15g“3+冰川喷雾水100ml1+打泡网”3",,188万+,祛痘、净黑头、淡痘印、控油、深层清洁、男士专用、温和,"""7天祛痘净黑头14天淡痘印持证控油-90.60%"" —— 专为男士油痘肌、黑头粉刺与痘印困扰设计，解决出油旺盛、痘痘反复与黑头堆积问题，通过微酸配方实现持证控油-90.60%、持证祛痘-49.40%、12H长效控油的可见改善。",,"小红书博主誉为""国货男士控油祛痘标杆""，泡沫细腻、清洁力强、对油痘肌、黑头粉刺反响最好，¥56.37/150g超大瓶国民价。负面：清洁力对干皮、敏感肌偏强，长期用易拔干刺痛；卸妆能力对持久彩妆、防晒不够；¥70.5原价偏贵；少数反馈瓶口偶有漏液、按压头偶尔卡顿；销量3000万+但部分用户认为是""大于功效的营销""。",洁面_24_d75ea043da.jpg
洁面,左颜右色,去角质凝胶,150g（贵在运费）/ 300g（第二支20元/店长推荐）/ 300ml（深层补水 控油醒肤）,/,"原价：¥49.9
优惠后：¥38.87","原价单g：¥0.33/g
优惠价单g：¥0.26/g",/,100万+,/,/,/,/,/,去角质、深层清洁毛孔、控油、平滑肌肤、改善粗糙、温和,"""去角质面部死皮深层清洁毛孔"" —— 专为男士肤质粗糙、毛孔堵塞困扰设计，解决老废角质堆积、毛孔黑头与皮肤暗沉问题，通过凝露搓泥型温和去角质实现深层清洁与平滑肌肤，洗后细腻光滑。",,"小红书博主反馈""凝胶搓泥+去角质""思路新颖，使用感舒爽、对粗糙暗沉皮肤约2-3次有可见改善，¥38/150g大容量价格友好。负面：搓泥粒并非真死皮（实为成胶剂），实际去角质效果有限；敏感肌、屏障受损慎用；油皮过度使用反而促进油脂分泌；少数反馈泵头偶尔卡顿；30ml/300ml规格命名混乱不便选购。",洁面_25_c42fd52d32.jpg
洁面,左颜右色,火山泥去黑头洁面乳,单瓶尝鲜装（150g祛痘去黑头/男士洗面奶）/ 双支装第2瓶20元（天猫次日达）/ 2支装（控油·美白·淡斑淡痘印）/ 套装（祛痘去黑头护肤套装）,/,"原价：¥59.9
优惠后：¥47.37","原价单g：¥0.40/g
优惠价单g：¥0.32/g",/,80万+,/,/,/,/,/,祛痘、控油、去黑头、强效吸油脂、滋润温和、深层清洁,"""祛痘控油洗去黑头国货男士洁面销量第一"" —— 专为油痘肌男士设计，解决出油旺盛、毛孔黑头与痘痘反复问题，通过火山泥配方实现清爽净毛孔、强效吸油脂、祛痘清黑头与滋润温和的多效合一洁净体验。",,"小红书博主誉为""国货男士洁面销量第一""，火山泥配方对油痘肌、黑头粉刺反响最积极，泡沫细腻、清洁力强、洗后毛孔可见净化。负面：清洁力对干皮、敏感肌偏强，长期用易拔干甚至引发屏障受损；¥47.37/150g单价中等；薄荷感对屏障弱化人群刺激；功效定位偏基础，对囊肿型痘痘、严重黑头作用有限。",洁面_26_21a312f0dd.jpg
洁面,左颜右色,美白洁面乳,1支装（男士洁面第1升级120g大容量）/ 2支装（超90%用户选择/120g大容量）/ 3支装（荣登3大天猫榜单 7天试用）/ 5支装（囤货家庭装/全网热销400万+）/ 2件套（天猫次日达/永辉等商超爆卖）/ 3件套（痘印面积-19.9%）,/,"原价：¥58.8
优惠后：¥46.37","原价单g：¥0.49/g
优惠价单g：¥0.39/g",/,10万+,69.9,¥0.46/ml,美白洗面奶150g“2+美白洁面15g“1+打泡网“2,,30.7万+,美白、淡斑、控油、淡化痘印、深层清洁、改善暗沉、4维美白配方,"""7天美白14天白透亮郑恺代言"" —— 专为男士暗沉黄黑皮、痘印色斑困扰设计，解决肤色不均、出油暗沉与色斑沉积问题，通过4维美白配方实现色斑-11.31%、出油量-67.50%、光泽度+154.17%的可见改善。",,"小红书博主誉为""郑恺代言美白洁面""，泡沫细腻、对暗沉黄黑皮反响积极，宣传数据可见改善，¥46.37/120g大容量学生党友好。负面：美白功效需持续使用4周以上、洁面停留时间短作用有限；清洁力对干皮、敏感肌偏强，长期用易拔干；销量400万+但部分用户认为是""大于功效的营销""；管口偶有漏液。",洁面_27_7272cafa25.jpg
洁面,自然部落,洁面乳,300g（控油祛痘洁面乳）,植萃淡香,"原价：¥119
优惠后：¥77.47","原价单g：¥0.40/g
优惠价单g：¥0.26/g",/,1万+,/,/,/,/,/,控油、祛痘、清洁、温和、清爽不紧绷、植萃淡香、男士专研,"""控油祛痘洁面乳洗走油痘清爽不紧绷"" —— 专为油痘肌男士设计，解决出油旺盛、痘痘反复与肌肤紧绷问题，通过氨基酸柔活配方与植萃淡香实现深层清洁与温和洁净，洗后清爽不紧绷的舒适肤感。",,"小红书博主反馈""自然部落控油祛痘洁面""性价比高，泡沫细腻、清洁力适中、对油痘肌温和不紧绷，¥77.47/300g大容量被誉为""国货洁面平价款""。负面：祛痘功效偏基础、对中重度痘痘作用有限；植萃淡香味偏淡、追求香氛感的人会失望；少数反馈管口偶有漏液；¥119原价偏贵，需大促入手；卸妆能力对持久彩妆和强力防晒不彻底。",洁面_28_eb4a48ce99.jpg
洁面,溪木源,洁面乳,200g（常规款/居家使用）/ 120g（一件装/常规款）,/,"原价：¥109
优惠后：¥64.25","原价单g：¥0.55/g（200g）
优惠价单g：¥0.32/g（200g）",买即赠爽肤水15ml；5/21-5/26限时加赠（即时可用）,30万+,/,/,/,/,/,控油、祛痘、净黑头、清爽、不泛油、温和清洁、氨基酸洁面,"""祛痘净黑头清爽不泛油"" —— 专为男士油痘肌、黑头粉刺设计，解决出油旺盛、痘痘反复与黑头堆积问题，通过氨基酸温和配方实现控油祛痘与深层净透，洗后清爽不泛油不紧绷。",,"小红书博主誉为""溪木源男士洁面入门款""，氨基酸温和+祛痘净黑头思路明确、对油痘肌、混油皮反响最好，¥64.25/200g大瓶性价比突出。负面：清洁力对干皮、敏感肌偏强，长期用易拔干；祛痘对囊肿型痘痘效果有限；¥109原价偏贵；少数反馈管口偶尔漏液、按压头偶尔卡顿；薄荷凉感对屏障受损人群刺激。",洁面_29_ef5cedeaa4.jpg
面护,科颜氏,男士水乳套餐,"爽肤水250ml
+乳液75ml",清凉薄荷香调,"原价：¥665
优惠后：¥523.47",/,"赠 男士爽肤水40ml × 3
赠 男士保湿乳液15ml × 4",30万+,/,/,/,/,/,清洁毛孔、补水、保湿、控油、舒缓、提亮、改善暗沉,"""肌肤冰美式""净爽醒肤。专为男性设计的水乳套组，三步护理流程（先清洁→再平衡→后保湿），深层清洁油脂污垢、平衡水油平衡、长效保湿不黏腻，解决男士出油、干燥、面部暗沉等困扰，带来清爽醒肤体验。",,"博主普遍推荐给油皮、混油、熬夜暗沉男士，水乳清爽好推、吸收快、不搓泥不油腻，含水杨酸版本控油和稳痘评价正向，作为基础""省心三步""性价比尚可。差评：爽肤水有人觉得水状肤感留有黏腻感，桉树薄荷香被嫌""像花露水""、靠近眼周会刺；乳液夜间厚涂油皮易闷闭口；干敏皮反馈保湿力一般。",面护_2_9532334af5.jpg
面护,科颜氏,高保湿精华水乳套,高保湿水250ml + 高保湿霜125ml（共375ml）,/,"原价：¥935
优惠后：¥793.47",/,"基础赠品：
高保湿水40ml*7 + 高保湿霜14ml*7 + 随行牛仔格化妆包*1

直播间加赠：高保湿水40ml*1",6000+,高保湿精华水250ml+第三代高保湿霜50ml（共300ml）,/,送正装高保湿霜125ml*1+格纹化妆包,,2.8万,补水、保湿、锁水、舒缓修护、强韧屏障、长效保湿、改善干燥,"""补水+锁水""双重滋润CP。专为肌肤缺水与屏障受损人群设计，直击干燥起皮、紧绷泛红、灼热不适等问题，通过补水锁水协同作用，实现1小时稳屏障、72小时长效锁水，令肌肤水润舒适强韧。",,"干皮、敏感肌秋冬刚需，角鲨烷+冰川蛋白主打长效保湿，乳霜被形容""上脸化开成保护膜""、修护屏障和抗泛红口碑稳。争议点：¥793套装价格被吐槽贵，常等节促或买小样；油皮、夏天和南方湿热环境用偏厚重，需减量或只晚上用；保湿型不主打美白抗老，功效党觉得""基础但平淡""；瓶身偏大不便携。",面护_3_a40e914414.jpg
面护,科颜氏,男士活力爽肤水,250ml,/,"原价：¥305
优惠后：¥263.47","原价单ml：¥1.22 /ml
优惠价单ml：¥1.05 /ml","赠 男士洁面30ml * 1
赠 男士爽肤水40ml * 2
赠 男士保湿乳15ml * 1",10万+,305,¥1.22 /ml,"买1赠4件礼
男士保湿乳15ml*1+男士洁面30ml*1+男士爽肤水40ml*2",,4150,补水、保湿、控油、清洁、舒缓、焕亮,专为男士设计的“醒神咖啡”，快速补水控油，改善暗沉与倦容，解决肌肤油腻、干燥紧绷与剃须后不适问题，带来清爽不粘腻的活力肤感。,,"油皮混油皮男生反馈最多，称是""油田救星""，含薄荷醇凉感明显、抗坏血酸+咖啡因+红景天提味，控油+毛孔细腻+剃须后舒缓都是高频好评点。质地清爽不黏腻、吸收快。差评主要集中在专柜价偏高、250ml瓶身偏小不耐用；干皮反馈保湿力不足、单用会紧绷；敏感肌需注意薄荷凉感可能刺激。",面护_4_e1f9ae60fd.jpg
面护,科颜氏,高保湿精粹水,250ml,/,"原价：¥295
优惠后：¥253.47","原价单ml：¥1.18 /ml
优惠价单ml：¥1.01 /ml",赠高保湿水40ml*5,40万+,295,¥1.18 /ml,"买250ml到手共450ml量
赠高保湿水40ml*5",,4.4万,补水、保湿、舒缓、二次清洁,3大明星成分温和补水，改善干燥紧绷、起皮粗糙等干皮困扰，令肌肤水润舒适，适用于多种肤质。,,"被称为""干皮神水""，秋冬空调房口碑爆棚。透明质酸+冰川糖蛋白+角鲨烷成分受推崇，质地像精华水有微稠感，无酒精无香精敏感肌可用，湿敷后上妆不卡粉、肌肤软嫩。差评点：纯油皮觉得偏黏腻、夏天用闷；价格偏贵但容量不算大；要搭配面霜才能锁水，单用对极干肌不够。",面护_5_ebd14eb4f8.jpg
面护,科颜氏,金盏花爽肤水,"250ml
500ml",/,"250ml规格：
原价：¥350
优惠后：¥308.47

500ml规格：
原价：¥580
优惠后：¥488","250ml规格：
原价单ml：¥1.40 /ml
优惠价单ml：¥1.23 /ml

500ml规格：
原价单ml：¥1.16 /ml
优惠价单ml：¥0.98 /ml","买250ml正装，到手总量为490ml

买500ml正装，到手总量为980ml",100万+,"250ml：¥350
500ml：¥580","250ml：¥1.40 /ml
500ml：¥1.16 /ml","250ml：买250ml到手490ml（赠金盏花水40ml*6）+格纹卡套
500ml：买500ml到手980ml（赠金盏花水40ml*12+格纹卡套）",,"250ml：5.3万
500ml：4238",补水、保湿、控油、舒缓、修护、祛痘、二次清洁,"核心噱头：肌肤清火「凉茶」。

卖点总结：专为油痘肌设计的“灭火器”，通过手摘金盏花与全新修护多肽，精准解决痘痘、泛红、油光等肌肤问题，实现源头抑痘与舒缓修护。",,"经典明星款，混油/痘肌/敏感肌的""维稳水""。无酒精无香精、含金盏花瓣，湿敷镇静泛红、消闭口、夏天冰镇后体感更佳。差评集中：保湿力一般，纯干皮秋冬单用拔干；价格逐年上涨被吐槽""刺客""；瓶子玻璃易碎、不便携；部分用户认为不能直接缩毛孔，宣传有夸大嫌疑。",面护_6_e06ceb2239.jpg
面护,科颜氏,男士保湿乳液,75ml,清凉薄荷香调,"原价：¥360
优惠后：¥318.47","原价单ml：¥4.80 /ml
优惠价单ml：¥4.25 /ml","赠：男士洁面30ml × 1
+男士爽肤水40ml × 1
+男士保湿乳15ml × 2",6万+,342,¥4.56/ml,"买1赠4件礼
男士保湿乳15ml*1+男士洁面30ml*1+男士爽肤水40ml*1",,1707,保湿、锁水、补水、控油、提亮、改善暗沉、舒缓,"""肌肤冰美式""醒肤抗倦。专为男士设计的水润乳液，针对男士出油、暗淡、干燥紧绷等肌肤问题，清爽不油腻配方注入活力，唤醒疲惫肌，告别暗淡重现光泽，实现全天候清爽水润体验。",,定位油皮/混油皮和熬夜党男生，质地水润轻薄、吸收快不黏腻，含薄荷醇带凉感，夏天体验佳。维C+欧洲栗+角鲨烷成分被夸抗氧化提亮、控油不闷痘。差评：干皮反馈保湿力不够、需叠面霜；薄荷凉感对敏感肌可能刺激；75ml容量小、单价偏贵性价比一般；部分用户觉得效果与同价位日系男士乳液差距不大。,面护_7_97040bdc1f.jpg
面护,朗仕,控油洁面水乳套装,控油洁面125ml + 控油水200ml + 控油乳液50ml,/,"原价：¥820
优惠后：¥678","原价单ml：¥2.18
优惠价单ml：¥1.81 /ml",赠控油洁面30mlx2+控油乳液15mlx3+控油泥膜1.5ml,4万+,/,/,/,/,/,控油、深层清洁、疏通毛孔、去黑头、祛红痘印、舒缓、保湿,"""男士专研控油三部曲"" —— 专为男性油痘肌设计，解决因雄激素导致的整日油光、毛孔粗大及反复长痘问题，通过靶向净油科技实现12小时持久控油与净澈毛孔，同时改善闭口与红痘印。",,"包含洁面+爽肤水+俊范乳液，针对25+熬夜党都市男士，控油+抗糖抗氧化是核心卖点。乳液被夸轻薄不闷痘、哑光肤感；爽肤水含咖啡因清爽提神。整体反馈""护肤新手友好、男生入门套装""。差评：套装定价678元偏贵，单买更划算；极干皮冬天觉得乳液保湿不够；小红书讨论度低于科颜氏男士线，深度测评相对较少。",面护_8_9267421bcd.jpg
面护,朗仕,保湿洁面水乳套装,多功能洁面100ml + 蓝宝瓶充能水200ml + 充能保湿乳50ml,/,"原价：¥1020
优惠后：¥878.47","原价单ml：¥2.91 /ml 
优惠价单ml：¥2.51 /ml","赠蓝宝瓶充能水200ml
直播间加赠多功能洁面30mlx3+充能保湿乳20mlx2",9000+,/,/,/,/,361,保湿、修护、抗初老、淡纹、焕亮、舒缓,"男士专研抗初老保湿"" —— 专为缺水初老肌肤设计，解决因压力与年龄增长导致的干燥暗沉、粗糙老化及屏障弱化问题，通过激活细胞能量实现深层补水、强韧修护与淡褪细纹，重焕肌肤活力。",,"博主常推这套""充能保湿三部曲""，洁面氨基酸+皂基复配清洁力强但不拔干，带薄荷清凉感；爽肤水含咖啡因+玻尿酸，号称提神补水；乳液主打抗糖抗氧、改善熬夜暗沉。差评点集中在套装总价878偏贵，干皮和酒精敏感人群在冬季可能觉得保湿力一般，需另叠面霜；薄荷清凉感对敏感肌有刺激风险。",面护_9_fc393d25e4.jpg
面护,朗仕,面部精华,50ml,/,"原价：¥750
优惠后：¥608.47","原价单ml：¥15.00 /ml
优惠价单ml：¥12.17 /ml",赠充能保湿乳20mnl,1万+,/,/,/,/,/,抗皱、修护、改善肤质、防御、保湿,"日防夜修抗皱修护"" —— 专为熬夜男士设计，解决因熬夜导致的肌肤暗沉粗糙、干燥细纹及氧化老化问题，通过日防御夜修护科技实现深层修护与抗老，改善肤质并提升肌肤防御力。",,"博主常聚焦其""五重胜肽矩阵+黑麦籽+玻尿酸+神经酰胺""配方，凝露质地吸收快、无酒精无香精，敏感肌也能上脸，部分用户反馈坚持用一两个月细纹和紧致度有改善。差评在价格——50ml ¥608被不少人吐槽""刺客""、性价比低；功效感受因人而异，年轻肌或熬夜党可能短期看不出明显变化，被吐槽有""智商税""嫌疑。",面护_10_baf412a346.jpg
面护,朗仕,面霜（保湿补水）,50ml,/,"原价：¥580
优惠后：¥499.47","原价单ml：¥11.60 /ml 
优惠价单ml：¥9.99 /ml",赠多功能洁面30mlx3+蓝宝瓶30mx2,2万+,/,/,/,/,/,保湿、抗初老、修护屏障、淡纹、抗氧,"日修夜护长效保湿抗初老"" —— 专为男性缺水肌肤设计，解决因疏于护理导致的干燥粗糙及初老纹路问题，通过革新「水盾」科技实现48小时持久保湿与屏障修护，质地轻盈化水不粘腻，达成深层滋润与抗氧抗老的双重功效。",,"被称作""水凝面霜""，含海藻糖+玻尿酸+抗氧复配，质地水润不黏腻、吸收快是主要好评点，干敏皮和换季泛红用户说能强屏障、缓解紧绷；油皮夏天单用也不闷痘。差评主要集中在保湿力对极干皮冬季""不够顶""，需要叠加精华或封闭性更强的面霜；¥499/50ml价格被认为只能算中规中矩，平替很多。",面护_11_ab60ccab10.jpg
面护,朗仕,面霜（紧致抗皱）,50ml,/,"原价：¥990
优惠后：¥909.47","原价单ml：¥19.80 /ml
优惠价单ml：¥18.19 /ml",赠锋范爽肤水30mlx3+锋范面霜7ml,1万+,/,/,/,/,65,抗老、抗皱、紧致、淡纹、修护、保湿,"""男士专研根源抗老紧致"" —— 专为男性断崖式衰老特征设计，解决因细胞能量消耗大导致的皮肤松弛、纹路明显及疲态问题，通过黄金胜肽矩阵与NAD+修护酶实现深层抗老与轮廓紧致，达成淡褪纹路与提升下颌线的双重功效。",,"小红书针对该款单品的独立笔记数量较少，多与""朗仕锋范抗老线""一同被讨论，主打多胜肽、紧致淡纹，质地厚润但被反馈不油腻、上脸有提拉感，30+男士反馈坚持用脸部线条更利落。最大争议是¥909价格被吐槽""男士面霜天花板""""劝退价""，且抗皱属慢效，短期看不到明显变化；试用装不退换也被部分用户提醒。",面护_12_72455a9f73.jpg
面护,朗仕,多功能乳液,50ml、100ml,/,原价：¥350 (50ml) /¥520 (100ml),"50ml原价单ml：¥7.00 /ml
100ml原价单ml：¥5.20 /ml",赠乳液20ml*2,10万+,/,/,/,/,8,保湿、控油、补水、舒缓、平滑、哑光,"""男士专研哑光保湿控油"" —— 专为男士混合性肌肤设计，解决T区出油、脸颊干燥及肤质粗糙问题，通过多效合一配方实现清爽保湿与持久控油，达成哑光不油腻的平滑肤感。",,"俊范多效乳液在男士护肤榜单常被点名""经典老品牌""""一瓶搞定控油+保湿+抗初老""，质地清爽哑光、含生物酵素+甘油+玻尿酸+植物萃取，25+轻熟男和护肤新手好评率高，木质香被认为很男人。差评是味道偏浓有人不喜欢；油皮觉得保湿尚可、控油不是顶级；100ml ¥495的定价被吐槽""小红书种草贵""，需活动入手才划算。",面护_13_c69b3bd862.jpg
面护,朗仕,爽肤水（保湿）,200ml,/,原价：¥300,原价单ml：¥1.50 /ml,赠蓝宝瓶30mx4,3万+,/,/,/,/,216,保湿、修护屏障、提亮、细腻、须后舒缓,"男士专研细胞充能保湿"" —— 专为男性肌肤代谢能量不足设计，解决因压力与年龄导致的干燥老化及屏障弱化问题，通过激活细胞能量开关实现深层保湿与屏障修护，达成水润细腻的平滑肤感。",,"""蓝宝瓶充能水""在男士爽肤水榜单几乎是常驻款，HYDRA2G锁水科技+咖啡因+玻尿酸，质地清爽不黏腻、提神感强，剃须后镇定也被夸；好评点集中在""早晨叫醒脸""。但也有不少人吐槽""用着像水""""效果一般""，极干皮冬季单用不够保湿；含微量酒精，敏感肌部分用户反馈刺痛；¥300/200ml在男士基础水里属偏贵段。",面护_14_2f629dfe35.jpg
面护,朗仕,爽肤水（控油）,200ml,/,原价：¥240,原价单ml：¥1.20 /ml,赠控油洁面30ml,2万+,/,/,/,/,7,控油、平衡水油、舒缓、修护、温和,"男士专研靶向控油平衡"" —— 专为男士雄激素导致的过度出油设计，解决油田、毛孔粗大及油痘不适问题，通过靶向抑制产油信号实现根源控油与水油平衡，质地清透不刺激。",,"净油焕肤水（俗称""绿瓶""）油皮和混油皮回购率高，含金缕梅+薄荷醇+尿囊素，主打净化收敛+控油+清凉，T区湿敷5分钟后毛孔变细、闷痘减少是高频好评。差评点：薄荷清凉感对敏感肌、刚刮完胡子的破损皮肤可能刺痛；干皮、屏障受损人群完全不建议；并非速效祛痘，需要长期用，短期没看到效果就放弃的用户不少。",面护_15_2f629dfe35.jpg
面护,朗仕,充能乳液,50ml,/,"原价：¥480
优惠后：¥418.47","原价单ml：¥9.60 /ml 
优惠价单ml：¥8.37 /ml",赠充能保湿乳20mlx2,4万+,/,/,/,/,65,保湿、抗初老、淡纹、修护屏障、改善泛红,"""男士专研细胞充能抗初老"" —— 专为男性细胞能量匮乏导致的干燥暗沉及初老纹路设计，解决因代谢迟缓引起的肌肤老化问题，通过激活AMPK细胞能量开关实现深层保湿、淡褪细纹与强韧修护。",,"第二代充能保湿乳液被定位为""轻熟男25+抗初老乳液""，质地清爽不油、吸收快，含生物酵素+甘油+玻尿酸；很多熬夜党反馈坚持用气色变好、暗沉淡化、T区出油减轻，木质清香加分。差评：50ml ¥418单价被觉得贵，更推荐买100ml或套装；保湿力被极干皮觉得偏弱、冬天需要叠面霜；有用户反馈和品牌爽肤水叠涂有轻微搓泥。",面护_16_0e71658e2a.jpg
面护,海洋至尊,"控油水乳套装
（至尊蓝藻水律控油水+蓝藻水律控油乳）","控油水：120ml
控油乳：120g",/,原价：¥159,/,,3万+,/,/,/,/,800+,控油、补水、保湿、平衡水油、舒缓、细腻焕肤、修护屏障,"男士专研水油平衡控油保湿"" —— 专为男性皮脂腺活跃、易出油肤质设计，解决满面油光、外油内干及肤质粗糙问题，通过多效控油成分与保湿体系实现即时控油与深层补水，达成清爽哑光、水润不紧绷的健康肤质。",,"好评聚焦在质地清爽不黏腻、吸收快，T区出油和闭口在两周内有可见改善，男生简化护肤步骤刚需，性价比OK。差评/争议：主打成分蓝藻被质疑营销大于实效，敏感肌反馈泛红刺痛需先试用，干皮觉得保湿力不足，效果因人而异并非""神物""。",面护_17_e7a7c3b76d.jpg
面护,海洋至尊,"美白水乳套装
（海洋至尊美白爽肤水
+海洋至尊美白润肤乳）","水：120ml
乳：120g",/,原价：¥179,/,赠美白洁面面30g*美白水20g美白乳15g,4万+,/,/,/,/,2.3万,美白、淡斑、淡印、提亮、减黄、匀净、补水、保湿、控油,"""专研377美白淡印匀净"" —— 专为男士暗沉、痘印及肤色不均问题设计，解决因黑色素沉积导致的黄黑皮与瑕疵困扰，通过377成分与多重美白科技实现根源抑黑、淡褪色斑与痘印，达成透亮匀净的白皙肤感。",,"377+烟酰胺+熊果苷的组合受关注，测评称坚持1个月有提亮、痘印淡化效果，质地清爽不闷痘，夏季油皮友好。差评/争议：377浓度未公开被怀疑添加量低，淡斑效果几乎没人反馈到位，烟酰胺对敏感肌有刺激风险，""美白""更像是日常维稳级别。",面护_18_588fae297d.jpg
面护,海洋至尊,多效精华补水喷雾（爽肤水）,30g,/,原价：¥129.9 / 优惠后：¥75.37,原价单g：¥4.33/g / 优惠价单g：¥2.51/g,入会至高6件礼：多效乳3g+洗面露3g+冰沙霜3g等；下拉入会享更多权益,1万+,79.9,¥0.799/ml,赠多效精华乳15g*1+同款精华喷雾30ml*1,,1.7万,控油、祛痘、紧致、保湿、补水、提亮、改善暗沉、修护,"""喷雾式固态精华一瓶速攻油痘暗垮"" —— 专为男士油皮设计，解决出油多、痘痘暗沉与肌肤垮塌问题，通过创新喷雾固态精华技术实现8H控油、紧致提亮，达成水润醒肤效果。",,"小容量便携，夏天/化妆后随手一喷有清凉感，香味自然像草本，搭配防晒前打底好评。差评/争议：30g价格75元被吐槽偏贵不耐用，喷头雾化粗细不均，保湿力只能算""瞬时""，干燥环境下越喷越干，小红书原生讨论很少，更多是品牌套装内捎带评价。",面护_19_0805f8973d.jpg
